危险因子	疾病	 OR 	references
疾病史.消化系统=幽门螺旋杆菌感染	胃癌	2.52	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
疾病史.消化系统=胃、十二指肠溃疡	肠癌	2.51	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
家族史.心脑血管=脑卒中（俗称中风）	脑卒中	2.51	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
饮食.酒精=大于0.1g	食管癌	2.51	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
家族史.心脑血管=冠心病	冠心病	2.5	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
饮食.物理特征=常吃烫食	胃癌	2.5	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
婚育=多产	宫颈癌	2.49	"1 吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
2 万磊, 李隆玉, 曾四元, et al. 中国近10年已婚妇女宫颈癌发病因素Meta分析[J]. 中国综合临床, 2013(s1)."
家族史.癌症=癌症	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-178.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-179.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-180.
家族史.癌症=肠癌	肠癌	2.45	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-181.
婚育=早孕	宫颈癌	2.42	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
吸烟.量=吸烟	食管癌	2.41	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
家族史.癌症=癌症	宫颈癌	2.4	万磊,李隆玉,曾四元.中国近10年已婚妇女宫颈癌发病因素Meta分析[J].中国综合临床,2013,29(13):133-136.
吸烟.量=吸烟	胃癌	2.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
